"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Agent Tesla](https://attack.mitre.org/software/S0331) obfuscates its code in an apparent attempt to make analysis difficult.","defense-evasion"
"Application Isolation and Sandboxing","anti-virus","exploitation for client execution","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Restrict execution of code to a virtual environment on or in transit to an endpoint system.","Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.\\n\\nOther types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist.","T1203","[Agent Tesla](https://attack.mitre.org/software/S0331) exploits CVE-2017-11882 in Microsoft???s Equation Editor to execute a process.","execution"
"Application Isolation and Sandboxing","system calls","exploitation for client execution","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Restrict execution of code to a virtual environment on or in transit to an endpoint system.","Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.\\n\\nOther types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist.","T1203","[Agent Tesla](https://attack.mitre.org/software/S0331) exploits CVE-2017-11882 in Microsoft???s Equation Editor to execute a process.","execution"
"Exploit Protection","anti-virus","exploitation for client execution","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility.","T1203","[Agent Tesla](https://attack.mitre.org/software/S0331) exploits CVE-2017-11882 in Microsoft???s Equation Editor to execute a process.","execution"
"Exploit Protection","system calls","exploitation for client execution","Agent Tesla","[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written in visual basic.(Citation: Fortinet Agent Tesla April 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility.","T1203","[Agent Tesla](https://attack.mitre.org/software/S0331) exploits CVE-2017-11882 in Microsoft???s Equation Editor to execute a process.","execution"
