"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Network Intrusion Prevention","netflow/enclave netflow","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","defense-evasion"
"Network Intrusion Prevention","network protocol analysis","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","defense-evasion"
"Network Intrusion Prevention","ssl/tls inspection","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","command-and-control"
"Network Intrusion Prevention","ssl/tls inspection","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","defense-evasion"
"Restrict Web-Based Content","netflow/enclave netflow","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","command-and-control"
"Restrict Web-Based Content","netflow/enclave netflow","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","defense-evasion"
"Restrict Web-Based Content","network protocol analysis","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","command-and-control"
"Restrict Web-Based Content","network protocol analysis","web service","CALENDAR","[CALENDAR](https://attack.mitre.org/software/S0025) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Gmail Calendar traffic. (Citation: Mandiant APT1)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","The [CALENDAR](https://attack.mitre.org/software/S0025) malware communicates through the use of events in Google Calendar.","defense-evasion"
