"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Execution Prevention","loaded dlls","appinit dlls","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Adversaries can install new AppInit_DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit_DLLs functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.","T1103","Some variants of [Cherry Picker](https://attack.mitre.org/software/S0107) use AppInit_DLLs to achieve persistence by creating the following Registry key: <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""</code>","persistence"
"Execution Prevention","loaded dlls","appinit dlls","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Adversaries can install new AppInit_DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit_DLLs functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.","T1103","Some variants of [Cherry Picker](https://attack.mitre.org/software/S0107) use AppInit_DLLs to achieve persistence by creating the following Registry key: <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""</code>","privilege-escalation"
"Filter Network Traffic","netflow/enclave netflow","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Filter Network Traffic","network protocol analysis","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Network Intrusion Prevention","netflow/enclave netflow","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Network Intrusion Prevention","network protocol analysis","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Network Segmentation","netflow/enclave netflow","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.","Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Network Segmentation","network protocol analysis","exfiltration over alternative protocol","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.","Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.","T1048","[Cherry Picker](https://attack.mitre.org/software/S0107) exfiltrates files over FTP.","exfiltration"
"Update Software","loaded dlls","appinit dlls","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Perform regular software updates to mitigate exploitation risk.","Upgrade to Windows 8 or later and enable secure boot.","T1103","Some variants of [Cherry Picker](https://attack.mitre.org/software/S0107) use AppInit_DLLs to achieve persistence by creating the following Registry key: <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""</code>","persistence"
"Update Software","loaded dlls","appinit dlls","Cherry Picker","[Cherry Picker](https://attack.mitre.org/software/S0107) is a point of sale (PoS) memory scraper. (Citation: Trustwave Cherry Picker)","Perform regular software updates to mitigate exploitation risk.","Upgrade to Windows 8 or later and enable secure boot.","T1103","Some variants of [Cherry Picker](https://attack.mitre.org/software/S0107) use AppInit_DLLs to achieve persistence by creating the following Registry key: <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""</code>","privilege-escalation"
