"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.","defense-evasion"
"Encrypt Sensitive Information","data loss prevention","automated collection","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Protect sensitive information with strong encryption.","Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. Strong passwords should be used on certain encrypted documents that use them to prevent offline cracking through [Brute Force](https://attack.mitre.org/techniques/T1110) techniques.","T1119","[Comnie](https://attack.mitre.org/software/S0244) executes a batch script to store discovery information in %TEMP%\info.dat and then uploads the temporarily file to the remote C2 server.","collection"
"Exploit Protection","binary file metadata","rundll32","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","[Comnie](https://attack.mitre.org/software/S0244) uses Rundll32 to load a malicious DLL.","defense-evasion"
"Exploit Protection","binary file metadata","rundll32","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","[Comnie](https://attack.mitre.org/software/S0244) uses Rundll32 to load a malicious DLL.","execution"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Comnie](https://attack.mitre.org/software/S0244) uses HTTP for C2 communication.","command-and-control"
"Network Intrusion Prevention","malware reverse engineering","standard cryptographic protocol","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Comnie](https://attack.mitre.org/software/S0244) encrypts command and control communications with RC4.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","commonly used port","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1043","[Comnie](https://attack.mitre.org/software/S0244) uses Port Numbers 80, 8080, 8000, and 443 for communication to the C2 servers.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Comnie](https://attack.mitre.org/software/S0244) uses HTTP for C2 communication.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard cryptographic protocol","Comnie","[Comnie](https://attack.mitre.org/software/S0244) is a remote backdoor which has been used in attacks in East Asia. (Citation: Palo Alto Comnie)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Comnie](https://attack.mitre.org/software/S0244) encrypts command and control communications with RC4.","command-and-control"
