"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Denis](https://attack.mitre.org/software/S0354) obfuscates its code and encrypts the API names. [Denis](https://attack.mitre.org/software/S0354) also encodes its payload in Base64.","defense-evasion"
"Audit","loaded dlls","dll side-loading","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-loading vulnerabilities in software.","T1073","[Denis](https://attack.mitre.org/software/S0354) exploits a security vulnerability to load a fake DLL and execute its code.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[Denis](https://attack.mitre.org/software/S0354) injects its payload into Windows host processes.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[Denis](https://attack.mitre.org/software/S0354) injects its payload into Windows host processes.","privilege-escalation"
"Network Intrusion Prevention","binary file metadata","data compressed","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion prevention or data loss prevention tools may be set to block specific file types from leaving the network over unencrypted channels. An adversary may move to an encrypted channel or use other mechanisms of encapsulating the traffic in these situations.","T1002","[Denis](https://attack.mitre.org/software/S0354) compressed collected data using zlib.","exfiltration"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Denis](https://attack.mitre.org/software/S0354) has used DNS tunneling for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","commonly used port","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1043","[Denis](https://attack.mitre.org/software/S0354) uses port 53 for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Denis](https://attack.mitre.org/software/S0354) deploys additional backdoors and hacking tools to the system.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Denis](https://attack.mitre.org/software/S0354) deploys additional backdoors and hacking tools to the system.","lateral-movement"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Denis](https://attack.mitre.org/software/S0354) has used DNS tunneling for C2 communications.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","data encoding","Denis","[Denis](https://attack.mitre.org/software/S0354) is a Windows backdoor and Trojan.(Citation: Cybereason Oceanlotus May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1132","[Denis](https://attack.mitre.org/software/S0354) encodes the data sent to the server in Base64.","command-and-control"
