"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Execution Prevention","network intrusion detection system","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Use application whitelisting to mitigate installation and use of unapproved software that can be used for remote access.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Execution Prevention","network protocol analysis","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Use application whitelisting to mitigate installation and use of unapproved software that can be used for remote access.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Filter Network Traffic","network intrusion detection system","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Properly configure firewalls, application firewalls, and proxies to limit outgoing traffic to sites and services used by remote access tools.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Filter Network Traffic","network protocol analysis","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Properly configure firewalls, application firewalls, and proxies to limit outgoing traffic to sites and services used by remote access tools.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Dridex](https://attack.mitre.org/software/S0384) has used HTTPS for C2 communications.","command-and-control"
"Network Intrusion Prevention","malware reverse engineering","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","connection proxy","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific C2 protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1090","[Dridex](https://attack.mitre.org/software/S0384) contains a backconnect module for tunneling network traffic through a victim's computer. Infected computers become part of a P2P botnet that can relay C2 traffic to other infected peers.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","connection proxy","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific C2 protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1090","[Dridex](https://attack.mitre.org/software/S0384) contains a backconnect module for tunneling network traffic through a victim's computer. Infected computers become part of a P2P botnet that can relay C2 traffic to other infected peers.","defense-evasion"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Dridex](https://attack.mitre.org/software/S0384) has used HTTPS for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
"Network Intrusion Prevention","network intrusion detection system","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures may be able to prevent traffic to remote access services.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","remote access tools","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures may be able to prevent traffic to remote access services.","T1219","[Dridex](https://attack.mitre.org/software/S0384) contains a module for VNC.","command-and-control"
"Network Intrusion Prevention","ssl/tls inspection","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
"SSL/TLS Inspection","malware reverse engineering","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.","SSL/TLS inspection can be used to see the contents of encrypted sessions to look for network-based indicators of malware communication protocols.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
"SSL/TLS Inspection","netflow/enclave netflow","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.","SSL/TLS inspection can be used to see the contents of encrypted sessions to look for network-based indicators of malware communication protocols.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
"SSL/TLS Inspection","ssl/tls inspection","standard cryptographic protocol","Dridex","[Dridex](https://attack.mitre.org/software/S0384) is a banking Trojan that has been used for financial gain. Dridex was created from the source code of the Bugat banking trojan (also known as Cridex).(Citation: Dell Dridex Oct 2015)(Citation: Kaspersky Dridex May 2017)","Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.","SSL/TLS inspection can be used to see the contents of encrypted sessions to look for network-based indicators of malware communication protocols.","T1032","[Dridex](https://attack.mitre.org/software/S0384) has encrypted traffic with RSA and RC4.","command-and-control"
