"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Behavior Prevention on Endpoint","dll monitoring","process injection","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[Dyre](https://attack.mitre.org/software/S0024) injects into other processes to load modules.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[Dyre](https://attack.mitre.org/software/S0024) injects into other processes to load modules.","privilege-escalation"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Dyre](https://attack.mitre.org/software/S0024) uses HTTPS for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Dyre](https://attack.mitre.org/software/S0024) has a command to download and executes additional files.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Dyre](https://attack.mitre.org/software/S0024) has a command to download and executes additional files.","lateral-movement"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Dyre](https://attack.mitre.org/software/S0024) uses HTTPS for C2 communications.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","remote file copy","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Dyre](https://attack.mitre.org/software/S0024) has a command to download and executes additional files.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","remote file copy","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Dyre](https://attack.mitre.org/software/S0024) has a command to download and executes additional files.","lateral-movement"
"Privileged Account Management","dll monitoring","process injection","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","###Linux\\n\\nUtilize Yama to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced access control and process restrictions such as SELinux, grsecurity, and AppArmor.","T1055","[Dyre](https://attack.mitre.org/software/S0024) injects into other processes to load modules.","defense-evasion"
"Privileged Account Management","dll monitoring","process injection","Dyre","[Dyre](https://attack.mitre.org/software/S0024) is a Trojan that has been used for financial gain. \\n (Citation: Symantec Dyre June 2015)","Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","###Linux\\n\\nUtilize Yama to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced access control and process restrictions such as SELinux, grsecurity, and AppArmor.","T1055","[Dyre](https://attack.mitre.org/software/S0024) injects into other processes to load modules.","privilege-escalation"
