"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Epic](https://attack.mitre.org/software/S0091) heavily obfuscates its code to make analysis more difficult.","defense-evasion"
"Network Intrusion Prevention","binary file metadata","data compressed","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion prevention or data loss prevention tools may be set to block specific file types from leaving the network over unencrypted channels. An adversary may move to an encrypted channel or use other mechanisms of encapsulating the traffic in these situations.","T1002","[Epic](https://attack.mitre.org/software/S0091) compresses the collected data with bzip2 before sending it to the C2 server.","exfiltration"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Epic](https://attack.mitre.org/software/S0091) uses HTTP and HTTPS for C2 communications.","command-and-control"
"Network Intrusion Prevention","malware reverse engineering","standard cryptographic protocol","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1032","[Epic](https://attack.mitre.org/software/S0091) encrypts commands from the C2 server using a hardcoded key.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Epic","[Epic](https://attack.mitre.org/software/S0091) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010). (Citation: Kaspersky Turla)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Epic](https://attack.mitre.org/software/S0091) uses HTTP and HTTPS for C2 communications.","command-and-control"
