"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Disable or Remove Feature or Program","data loss prevention","replication through removable media","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable Autorun if it is unnecessary. Disallow or restrict removable media at an organizational policy level if it is not required for business operations.","T1091","[Flame](https://attack.mitre.org/software/S0143) contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.","initial-access"
"Disable or Remove Feature or Program","data loss prevention","replication through removable media","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable Autorun if it is unnecessary. Disallow or restrict removable media at an organizational policy level if it is not required for business operations.","T1091","[Flame](https://attack.mitre.org/software/S0143) contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.","lateral-movement"
"Exploit Protection","binary file metadata","rundll32","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","Rundll32.exe is used as a way of executing [Flame](https://attack.mitre.org/software/S0143) at the command-line.","defense-evasion"
"Exploit Protection","binary file metadata","rundll32","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","Rundll32.exe is used as a way of executing [Flame](https://attack.mitre.org/software/S0143) at the command-line.","execution"
"Limit Hardware Installation","data loss prevention","replication through removable media","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Block users or groups from installing or using unapproved hardware on systems, including USB devices.","Limit the use of USB devices and removable media within a network.","T1091","[Flame](https://attack.mitre.org/software/S0143) contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.","initial-access"
"Limit Hardware Installation","data loss prevention","replication through removable media","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Block users or groups from installing or using unapproved hardware on systems, including USB devices.","Limit the use of USB devices and removable media within a network.","T1091","[Flame](https://attack.mitre.org/software/S0143) contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.","lateral-movement"
"Multi-factor Authentication","windows event logs","create account","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.","Use multi-factor authentication for user and privileged accounts.","T1136","[Flame](https://attack.mitre.org/software/S0143) can create backdoor accounts with the login ""HelpAssistant"" with the Limbo module.","persistence"
"Network Segmentation","windows event logs","create account","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.","Configure access controls and firewalls to limit access to domain controllers and systems used to create and manage accounts.","T1136","[Flame](https://attack.mitre.org/software/S0143) can create backdoor accounts with the login ""HelpAssistant"" with the Limbo module.","persistence"
"Operating System Configuration","windows event logs","create account","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.","Protect domain controllers by ensuring proper security configuration for critical servers.","T1136","[Flame](https://attack.mitre.org/software/S0143) can create backdoor accounts with the login ""HelpAssistant"" with the Limbo module.","persistence"
"Privileged Account Management","windows event logs","create account","Flame","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)","Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","Do not allow domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.","T1136","[Flame](https://attack.mitre.org/software/S0143) can create backdoor accounts with the login ""HelpAssistant"" with the Limbo module.","persistence"
