"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","The [Helminth](https://attack.mitre.org/software/S0170) config file is encrypted with RC4.","defense-evasion"
"Audit","windows event logs","scheduled task","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges.","T1053","[Helminth](https://attack.mitre.org/software/S0170) has used a scheduled task for persistence.","execution"
"Audit","windows event logs","scheduled task","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges.","T1053","[Helminth](https://attack.mitre.org/software/S0170) has used a scheduled task for persistence.","persistence"
"Audit","windows event logs","scheduled task","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges.","T1053","[Helminth](https://attack.mitre.org/software/S0170) has used a scheduled task for persistence.","privilege-escalation"
"Code Signing","dll monitoring","powershell","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","One version of [Helminth](https://attack.mitre.org/software/S0170) uses a PowerShell script.","execution"
"Code Signing","loaded dlls","powershell","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","One version of [Helminth](https://attack.mitre.org/software/S0170) uses a PowerShell script.","execution"
"Disable or Remove Feature or Program","dll monitoring","powershell","Helminth","[Helminth](https://attack.mitre.org/software/S0170) is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable. (Citation: Palo Alto OilRig May 2016)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.\\n\\nDisable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution.","T1086","One version of [Helminth](https://attack.mitre.org/software/S0170) uses a PowerShell script.","execution"
