"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[HiddenWasp](https://attack.mitre.org/software/S0394) encrypts its configuration and payload.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[HiddenWasp](https://attack.mitre.org/software/S0394) adds itself to the LD_PRELOAD path and sets a series of environment variables.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[HiddenWasp](https://attack.mitre.org/software/S0394) adds itself to the LD_PRELOAD path and sets a series of environment variables.","privilege-escalation"
"Filter Network Traffic","netflow/enclave netflow","standard non-application layer protocol","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[HiddenWasp](https://attack.mitre.org/software/S0394) communicates with a simple network protocol over TCP.","command-and-control"
"Filter Network Traffic","network intrusion detection system","standard non-application layer protocol","HiddenWasp","[HiddenWasp](https://attack.mitre.org/software/S0394) is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statistically linked ELF binary with stdlibc++.(Citation: Intezer HiddenWasp Map 2019)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[HiddenWasp](https://attack.mitre.org/software/S0394) communicates with a simple network protocol over TCP.","command-and-control"
