"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Code Signing","dll monitoring","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
"Code Signing","loaded dlls","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
"Data Backup","windows event logs","inhibit system recovery","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.","Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data. Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.","T1490","[JCry](https://attack.mitre.org/software/S0389) has been observed deleting shadow copies to ensure that data cannot be restored easily.","impact"
"Disable or Remove Feature or Program","dll monitoring","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.\\n\\nDisable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
"Disable or Remove Feature or Program","loaded dlls","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.\\n\\nDisable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
"Execution Prevention","anti-virus","user execution","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Application whitelisting may be able to prevent the running of executables masquerading as other files.","T1204","[JCry](https://attack.mitre.org/software/S0389) has achieved execution by luring users to click on a file that appeared to be an Adobe Flash Player update installer.","execution"
"Network Intrusion Prevention","anti-virus","user execution","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Use intrusion detection signatures to block traffic at network boundaries.","If a link is being visited by a user, network intrusion prevention systems and systems designed to scan and remove malicious downloads can be used to block activity.","T1204","[JCry](https://attack.mitre.org/software/S0389) has achieved execution by luring users to click on a file that appeared to be an Adobe Flash Player update installer.","execution"
"Operating System Configuration","windows event logs","inhibit system recovery","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.","Consider technical controls to prevent the disabling of services or deletion of files involved in system recovery.","T1490","[JCry](https://attack.mitre.org/software/S0389) has been observed deleting shadow copies to ensure that data cannot be restored easily.","impact"
"Privileged Account Management","dll monitoring","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","When PowerShell is necessary, restrict PowerShell execution policy to administrators. Be aware that there are methods of bypassing the PowerShell execution policy, depending on environment configuration.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
"Privileged Account Management","loaded dlls","powershell","JCry","[JCry](https://attack.mitre.org/software/S0389) is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.(Citation: Carbon Black JCry May 2019)","Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","When PowerShell is necessary, restrict PowerShell execution policy to administrators. Be aware that there are methods of bypassing the PowerShell execution policy, depending on environment configuration.","T1086","[JCry](https://attack.mitre.org/software/S0389) has used PowerShell to execute payloads.","execution"
