"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Code Signing","binary file metadata","masquerading","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Require signed binaries.","T1036","[Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.","defense-evasion"
"Encrypt Sensitive Information","windows event logs","indicator removal on host","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Protect sensitive information with strong encryption.","Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.","T1070","[Misdat](https://attack.mitre.org/software/S0083) is capable of deleting Registry keys used for persistence.","defense-evasion"
"Execution Prevention","binary file metadata","masquerading","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Block execution of code on a system through application whitelisting, blacklisting, and/or script blocking.","Use tools that restrict program execution via whitelisting by attributes other than file name for common operating system utilities that are needed.","T1036","[Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.","defense-evasion"
"Filter Network Traffic","netflow/enclave netflow","custom command and control protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Filter Network Traffic","netflow/enclave netflow","standard non-application layer protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Filter Network Traffic","network intrusion detection system","custom command and control protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Filter Network Traffic","network intrusion detection system","standard non-application layer protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Filter Network Traffic","network protocol analysis","custom command and control protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Filter Network Traffic","network protocol analysis","standard non-application layer protocol","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over a raw socket.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","commonly used port","Misdat","[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used by [Dust Storm](https://attack.mitre.org/groups/G0031) from 2010 to 2011. (Citation: Cylance Dust Storm)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1043","[Misdat](https://attack.mitre.org/software/S0083) network traffic communicates over common ports like 80, 443, or 1433.","command-and-control"
