"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[OnionDuke](https://attack.mitre.org/software/S0052) uses HTTP and HTTPS for C2.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[OnionDuke](https://attack.mitre.org/software/S0052) uses HTTP and HTTPS for C2.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
"Network Intrusion Prevention","network protocol analysis","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
"Network Intrusion Prevention","ssl/tls inspection","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Network Intrusion Prevention","ssl/tls inspection","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
"Restrict Web-Based Content","netflow/enclave netflow","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Restrict Web-Based Content","netflow/enclave netflow","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
"Restrict Web-Based Content","network protocol analysis","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Restrict Web-Based Content","network protocol analysis","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
"Restrict Web-Based Content","ssl/tls inspection","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","command-and-control"
"Restrict Web-Based Content","ssl/tls inspection","web service","OnionDuke","[OnionDuke](https://attack.mitre.org/software/S0052) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2013 to 2015. (Citation: F-Secure The Dukes)","Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.","T1102","[OnionDuke](https://attack.mitre.org/software/S0052) uses Twitter as a backup C2 method. It also has a module designed to post messages to the Russian VKontakte social media site.","defense-evasion"
