"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Filter Network Traffic","netflow/enclave netflow","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Filter Network Traffic","netflow/enclave netflow","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Filter Network Traffic","network intrusion detection system","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Filter Network Traffic","network intrusion detection system","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Filter Network Traffic","network protocol analysis","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Filter Network Traffic","network protocol analysis","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to prevent use of protocols across the network boundary that are unnecessary.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","network intrusion detection system","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","network intrusion detection system","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Intrusion Prevention","network protocol analysis","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Segmentation","netflow/enclave netflow","custom command and control protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.","Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports and through proper network gateway systems. Also ensure hosts are only provisioned to communicate over authorized interfaces.","T1094","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
"Network Segmentation","netflow/enclave netflow","standard non-application layer protocol","PHOREAL","[PHOREAL](https://attack.mitre.org/software/S0158) is a signature backdoor used by [APT32](https://attack.mitre.org/groups/G0050). (Citation: FireEye APT32 May 2017)","Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.","Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports and through proper network gateway systems. Also ensure hosts are only provisioned to communicate over authorized interfaces.","T1095","[PHOREAL](https://attack.mitre.org/software/S0158) communicates via ICMP for C2.","command-and-control"
