"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[SynAck](https://attack.mitre.org/software/S0242) payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.","defense-evasion"
"Encrypt Sensitive Information","windows event logs","indicator removal on host","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Protect sensitive information with strong encryption.","Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.","T1070","[SynAck](https://attack.mitre.org/software/S0242) clears event logs.","defense-evasion"
"Remote Data Storage","windows event logs","indicator removal on host","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.","Automatically forward events to a log server or data repository to prevent conditions in which the adversary can locate and manipulate data on the local system. When possible, minimize time delay on event reporting to avoid prolonged storage on the local system.","T1070","[SynAck](https://attack.mitre.org/software/S0242) clears event logs.","defense-evasion"
"Restrict File and Directory Permissions","windows event logs","indicator removal on host","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.","Protect generated event files that are stored locally with proper permissions and authentication and limit opportunities for adversaries to increase privileges by preventing Privilege Escalation opportunities.","T1070","[SynAck](https://attack.mitre.org/software/S0242) clears event logs.","defense-evasion"
"Restrict Registry Permissions","windows event logs","modify registry","SynAck","[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelg??nging May 2018) (Citation: Kaspersky Lab SynAck May 2018)","Restrict the ability to modify certain hives or keys in the Windows Registry.","Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation.","T1112","[SynAck](https://attack.mitre.org/software/S0242) can manipulate Registry keys.","defense-evasion"
