"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[UBoatRAT](https://attack.mitre.org/software/S0333) encrypts instructions in the payload using a simple XOR cipher.","defense-evasion"
"Filter Network Traffic","netflow/enclave netflow","custom command and control protocol","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[UBoatRAT](https://attack.mitre.org/software/S0333) has used a custom command and control protocol to communicate with C2. The string ???488??? is placed at the top of the payload and encrypts the entre buffer with a static key using a simple XOR cipher.","command-and-control"
"Filter Network Traffic","network intrusion detection system","custom command and control protocol","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[UBoatRAT](https://attack.mitre.org/software/S0333) has used a custom command and control protocol to communicate with C2. The string ???488??? is placed at the top of the payload and encrypts the entre buffer with a static key using a simple XOR cipher.","command-and-control"
"Filter Network Traffic","network protocol analysis","custom command and control protocol","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[UBoatRAT](https://attack.mitre.org/software/S0333) has used a custom command and control protocol to communicate with C2. The string ???488??? is placed at the top of the payload and encrypts the entre buffer with a static key using a simple XOR cipher.","command-and-control"
"Filter Network Traffic","windows event logs","bits jobs","UBoatRAT","[UBoatRAT](https://attack.mitre.org/software/S0333) is a remote access tool that was identified in May 2017.(Citation: PaloAlto UBoatRAT Nov 2017)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic.","T1197","[UBoatRAT](https://attack.mitre.org/software/S0333) takes advantage of the /SetNotifyCmdLine option in [BITSAdmin](https://attack.mitre.org/software/S0190) to ensure it stays running on a system to maintain persistence.","defense-evasion"
