"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Antivirus/Antimalware","binary file metadata","software packing","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware.","T1045","[VERMIN](https://attack.mitre.org/software/S0257) is initially packed.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[VERMIN](https://attack.mitre.org/software/S0257) is obfuscated using the obfuscation tool called ConfuserEx.","defense-evasion"
"Encrypt Sensitive Information","data loss prevention","automated collection","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Protect sensitive information with strong encryption.","Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. Strong passwords should be used on certain encrypted documents that use them to prevent offline cracking through [Brute Force](https://attack.mitre.org/techniques/T1110) techniques.","T1119","[VERMIN](https://attack.mitre.org/software/S0257) saves each collected file with the automatically generated format {0:dd-MM-yyyy}.txt .","collection"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[VERMIN](https://attack.mitre.org/software/S0257) uses HTTP for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[VERMIN](https://attack.mitre.org/software/S0257) can download and upload files to the victim's machine.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","VERMIN","[VERMIN](https://attack.mitre.org/software/S0257) is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code. (Citation: Unit 42 VERMIN Jan 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[VERMIN](https://attack.mitre.org/software/S0257) can download and upload files to the victim's machine.","lateral-movement"
