"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Application Isolation and Sandboxing","anti-virus","exploitation for client execution","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Restrict execution of code to a virtual environment on or in transit to an endpoint system.","Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.\\n\\nOther types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist.","T1203","[Xbash](https://attack.mitre.org/software/S0341) can attempt to exploit known vulnerabilities in Hadoop, Redis, or ActiveMQ when it finds those services running in order to conduct further execution.","execution"
"Application Isolation and Sandboxing","system calls","exploitation for client execution","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Restrict execution of code to a virtual environment on or in transit to an endpoint system.","Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.\\n\\nOther types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist.","T1203","[Xbash](https://attack.mitre.org/software/S0341) can attempt to exploit known vulnerabilities in Hadoop, Redis, or ActiveMQ when it finds those services running in order to conduct further execution.","execution"
"Code Signing","dll monitoring","powershell","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","[Xbash](https://attack.mitre.org/software/S0341) can use scripts to invoke PowerShell to download a malicious PE executable or PE DLL for execution.","execution"
"Code Signing","loaded dlls","powershell","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.","Set PowerShell execution policy to execute only signed scripts.","T1086","[Xbash](https://attack.mitre.org/software/S0341) can use scripts to invoke PowerShell to download a malicious PE executable or PE DLL for execution.","execution"
"Disable or Remove Feature or Program","dll monitoring","powershell","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.\\n\\nDisable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution.","T1086","[Xbash](https://attack.mitre.org/software/S0341) can use scripts to invoke PowerShell to download a malicious PE executable or PE DLL for execution.","execution"
"Disable or Remove Feature or Program","loaded dlls","powershell","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.\\n\\nDisable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution.","T1086","[Xbash](https://attack.mitre.org/software/S0341) can use scripts to invoke PowerShell to download a malicious PE executable or PE DLL for execution.","execution"
"Disable or Remove Feature or Program","netflow/enclave netflow","network service scanning","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.","T1046","[Xbash](https://attack.mitre.org/software/S0341) can perform port scanning of TCP and UDP ports.","discovery"
"Disable or Remove Feature or Program","network protocol analysis","network service scanning","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.","T1046","[Xbash](https://attack.mitre.org/software/S0341) can perform port scanning of TCP and UDP ports.","discovery"
"Exploit Protection","anti-virus","exploitation for client execution","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility.","T1203","[Xbash](https://attack.mitre.org/software/S0341) can attempt to exploit known vulnerabilities in Hadoop, Redis, or ActiveMQ when it finds those services running in order to conduct further execution.","execution"
"Exploit Protection","loaded dlls","regsvr32","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block regsvr32.exe from being used to bypass whitelisting. Identify and block potentially malicious software executed through regsvr32 functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.","T1117","[Xbash](https://attack.mitre.org/software/S0341) can use regsvr32 for executing scripts.","defense-evasion"
"Exploit Protection","loaded dlls","regsvr32","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block regsvr32.exe from being used to bypass whitelisting. Identify and block potentially malicious software executed through regsvr32 functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.","T1117","[Xbash](https://attack.mitre.org/software/S0341) can use regsvr32 for executing scripts.","execution"
"Exploit Protection","system calls","exploitation for client execution","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility.","T1203","[Xbash](https://attack.mitre.org/software/S0341) can attempt to exploit known vulnerabilities in Hadoop, Redis, or ActiveMQ when it finds those services running in order to conduct further execution.","execution"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Xbash](https://attack.mitre.org/software/S0341) uses HTTP for C2 communications.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","network service scanning","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Use network intrusion detection/prevention systems to detect and prevent remote service scans.","T1046","[Xbash](https://attack.mitre.org/software/S0341) can perform port scanning of TCP and UDP ports.","discovery"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Xbash","[Xbash](https://attack.mitre.org/software/S0341) is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. [Xbash](https://attack.mitre.org/software/S0341) was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller.(Citation: Unit42 Xbash Sept 2018)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Xbash](https://attack.mitre.org/software/S0341) can download additional malicious files from its C2 server.","command-and-control"
