"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Antivirus/Antimalware","binary file metadata","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Antivirus/Antimalware","malware reverse engineering","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Antivirus/Antimalware","network intrusion detection system","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Antivirus/Antimalware","network protocol analysis","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Antivirus/Antimalware","ssl/tls inspection","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Antivirus/Antimalware","windows event logs","obfuscated files or information","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use signatures or heuristics to detect malicious software.","Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.","T1027","[Yahoyah](https://attack.mitre.org/software/S0388) encrypts its configuration file using a simple algorithm.","defense-evasion"
"Network Intrusion Prevention","malware reverse engineering","standard application layer protocol","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Yahoyah](https://attack.mitre.org/software/S0388) uses HTTP for C2.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Yahoyah](https://attack.mitre.org/software/S0388) uses HTTP GET requests to download other files that are executed in memory.","command-and-control"
"Network Intrusion Prevention","netflow/enclave netflow","remote file copy","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.","T1105","[Yahoyah](https://attack.mitre.org/software/S0388) uses HTTP GET requests to download other files that are executed in memory.","lateral-movement"
"Network Intrusion Prevention","netflow/enclave netflow","standard application layer protocol","Yahoyah","Yahoyah is a Trojan used by [Tropic Trooper](https://attack.mitre.org/groups/G0081) as a second-stage backdoor.(Citation: TrendMicro TropicTrooper 2015)","Use intrusion detection signatures to block traffic at network boundaries.","Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.","T1071","[Yahoyah](https://attack.mitre.org/software/S0388) uses HTTP for C2.","command-and-control"
