"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Audit","netflow/enclave netflow","remote desktop protocol","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups","T1076","[ZxShell](https://attack.mitre.org/software/S0412) has remote desktop functionality.","lateral-movement"
"Behavior Prevention on Endpoint","dll monitoring","process injection","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[ZxShell](https://attack.mitre.org/software/S0412) is injected into a shared SVCHOST process.","defense-evasion"
"Behavior Prevention on Endpoint","dll monitoring","process injection","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.","Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.","T1055","[ZxShell](https://attack.mitre.org/software/S0412) is injected into a shared SVCHOST process.","privilege-escalation"
"Disable or Remove Feature or Program","netflow/enclave netflow","network service scanning","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.","T1046","[ZxShell](https://attack.mitre.org/software/S0412) can launch port scans.","discovery"
"Disable or Remove Feature or Program","netflow/enclave netflow","remote desktop protocol","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable the RDP service if it is unnecessary.","T1076","[ZxShell](https://attack.mitre.org/software/S0412) has remote desktop functionality.","lateral-movement"
"Disable or Remove Feature or Program","network protocol analysis","network service scanning","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.","T1046","[ZxShell](https://attack.mitre.org/software/S0412) can launch port scans.","discovery"
"Encrypt Sensitive Information","windows event logs","indicator removal on host","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Protect sensitive information with strong encryption.","Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.","T1070","[ZxShell](https://attack.mitre.org/software/S0412) has a command to clear system event logs.","defense-evasion"
"Exploit Protection","binary file metadata","rundll32","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","[ZxShell](https://attack.mitre.org/software/S0412) has used rundll32.exe to execute other DLLs and named pipes.","defense-evasion"
"Exploit Protection","binary file metadata","rundll32","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.","Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass whitelisting.","T1085","[ZxShell](https://attack.mitre.org/software/S0412) has used rundll32.exe to execute other DLLs and named pipes.","execution"
"Filter Network Traffic","netflow/enclave netflow","endpoint denial of service","ZxShell","[ZxShell](https://attack.mitre.org/software/S0412) is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004.(Citation: FireEye APT41 Aug 2019)(Citation: Talos ZxShell Oct 2014 )","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services. Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. To defend against SYN floods, enable SYN Cookies.","T1499","[ZxShell](https://attack.mitre.org/software/S0412) has a feature to perform SYN flood attack on a host.","impact"
