"Mitigation Name","data source","technique","Software Name","Software Description","Mitigation Description","Application","TID","Use","tactic"
"Audit","netflow/enclave netflow","remote desktop protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.","Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups","T1076","[njRAT](https://attack.mitre.org/software/S0385) has a module for performing remote desktop access.","lateral-movement"
"Disable or Remove Feature or Program","data loss prevention","replication through removable media","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable Autorun if it is unnecessary. Disallow or restrict removable media at an organizational policy level if it is not required for business operations.","T1091","[njRAT](https://attack.mitre.org/software/S0385) can be configured to spread via removable drives.","initial-access"
"Disable or Remove Feature or Program","data loss prevention","replication through removable media","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable Autorun if it is unnecessary. Disallow or restrict removable media at an organizational policy level if it is not required for business operations.","T1091","[njRAT](https://attack.mitre.org/software/S0385) can be configured to spread via removable drives.","lateral-movement"
"Disable or Remove Feature or Program","netflow/enclave netflow","remote desktop protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.","Disable the RDP service if it is unnecessary.","T1076","[njRAT](https://attack.mitre.org/software/S0385) has a module for performing remote desktop access.","lateral-movement"
"Filter Network Traffic","netflow/enclave netflow","custom command and control protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[njRAT](https://attack.mitre.org/software/S0385) communicates to the C2 server using a custom protocol over TCP.","command-and-control"
"Filter Network Traffic","network intrusion detection system","custom command and control protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[njRAT](https://attack.mitre.org/software/S0385) communicates to the C2 server using a custom protocol over TCP.","command-and-control"
"Filter Network Traffic","network protocol analysis","custom command and control protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.","Filter network traffic to look for unusual or non-standard protocols.","T1094","[njRAT](https://attack.mitre.org/software/S0385) communicates to the C2 server using a custom protocol over TCP.","command-and-control"
"Limit Access to Resource Over Network","netflow/enclave netflow","remote desktop protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.","Use remote desktop gateways.","T1076","[njRAT](https://attack.mitre.org/software/S0385) has a module for performing remote desktop access.","lateral-movement"
"Limit Hardware Installation","data loss prevention","replication through removable media","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Block users or groups from installing or using unapproved hardware on systems, including USB devices.","Limit the use of USB devices and removable media within a network.","T1091","[njRAT](https://attack.mitre.org/software/S0385) can be configured to spread via removable drives.","initial-access"
"Limit Hardware Installation","data loss prevention","replication through removable media","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Block users or groups from installing or using unapproved hardware on systems, including USB devices.","Limit the use of USB devices and removable media within a network.","T1091","[njRAT](https://attack.mitre.org/software/S0385) can be configured to spread via removable drives.","lateral-movement"
"Multi-factor Authentication","netflow/enclave netflow","remote desktop protocol","njRAT","[njRAT](https://attack.mitre.org/software/S0385) is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.(Citation: Fidelis njRAT June 2013)","Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.","Use multi-factor authentication for remote logins.","T1076","[njRAT](https://attack.mitre.org/software/S0385) has a module for performing remote desktop access.","lateral-movement"
